,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
3629392,2015,8,14,5,DL,1991,N6700,MSP,ATL,520,517.0,-3.0,16.0,533.0,140.0,151.0,118.0,907,831.0,17.0,840,848.0,8.0,0,0,,,,,,
4032832,2015,9,8,2,WN,421,N496WN,DAL,SJC,1040,1040.0,0.0,11.0,1051.0,220.0,210.0,195.0,1450,1206.0,4.0,1220,1210.0,-10.0,0,0,,,,,,
4985688,2015,11,8,7,AA,1969,N767UW,PWM,CLT,910,905.0,-5.0,15.0,920.0,169.0,161.0,135.0,813,1135.0,11.0,1159,1146.0,-13.0,0,0,,,,,,
4537035,2015,10,10,6,WN,3538,N943WN,10800,14893,1345,1344.0,-1.0,16.0,1400.0,75.0,77.0,57.0,358,1457.0,4.0,1500,1501.0,1.0,0,0,,,,,,
2940609,2015,7,4,6,NK,231,N502NK,ATL,FLL,740,737.0,-3.0,13.0,750.0,109.0,102.0,83.0,581,913.0,6.0,929,919.0,-10.0,0,0,,,,,,
2925771,2015,7,3,5,EV,5472,N853AS,SHV,ATL,700,657.0,-3.0,11.0,708.0,105.0,,,551,1125.0,13.0,945,1138.0,,1,0,,,,,,
4324258,2015,9,27,7,UA,1671,N69806,SAN,IAH,855,850.0,-5.0,11.0,901.0,194.0,175.0,158.0,1303,1339.0,6.0,1409,1345.0,-24.0,0,0,,,,,,
5592036,2015,12,17,4,UA,688,N453UA,ORD,FLL,1042,1038.0,-4.0,14.0,1052.0,192.0,180.0,163.0,1182,1435.0,3.0,1454,1438.0,-16.0,0,0,,,,,,
208164,2015,1,14,3,DL,2046,N696DL,ATL,PHX,1336,1339.0,3.0,23.0,1402.0,257.0,263.0,235.0,1587,1557.0,5.0,1553,1602.0,9.0,0,0,,,,,,
3526412,2015,8,7,5,WN,4158,N703SW,MCI,PHX,1925,1956.0,31.0,9.0,2005.0,165.0,156.0,142.0,1044,2027.0,5.0,2010,2032.0,22.0,0,0,,0.0,0.0,0.0,0.0,22.0
5003097,2015,11,9,1,DL,701,N930DN,MCI,ATL,1009,1025.0,16.0,11.0,1036.0,116.0,113.0,95.0,692,1311.0,7.0,1305,1318.0,13.0,0,0,,,,,,
1159109,2015,3,17,2,AA,2272,N4WLAA,SAT,DFW,620,616.0,-4.0,18.0,634.0,67.0,65.0,40.0,247,714.0,7.0,727,721.0,-6.0,0,0,,,,,,
1778750,2015,4,24,5,AS,62,N706AS,ANC,JNU,800,753.0,-7.0,7.0,800.0,96.0,94.0,84.0,571,924.0,3.0,936,927.0,-9.0,0,0,,,,,,
2313876,2015,5,27,3,AA,1460,N3KDAA,DCA,DFW,1350,1356.0,6.0,36.0,1432.0,203.0,214.0,173.0,1192,1625.0,5.0,1613,1630.0,17.0,0,0,,11.0,0.0,6.0,0.0,0.0
4577500,2015,10,13,2,VX,713,N846VA,11259,14771,750,757.0,7.0,10.0,807.0,225.0,194.0,179.0,1476,906.0,5.0,935,911.0,-24.0,0,0,,,,,,
171610,2015,1,12,1,AS,493,N557AS,SAN,SEA,800,753.0,-7.0,19.0,812.0,177.0,185.0,160.0,1050,1052.0,6.0,1057,1058.0,1.0,0,0,,,,,,
5745361,2015,12,27,7,UA,564,N66808,DEN,MCO,1003,1015.0,12.0,14.0,1029.0,215.0,210.0,190.0,1546,1539.0,6.0,1538,1545.0,7.0,0,0,,,,,,
1030035,2015,3,9,1,US,1937,N173US,TPA,CLT,830,826.0,-4.0,19.0,845.0,105.0,109.0,79.0,507,1004.0,11.0,1015,1015.0,0.0,0,0,,,,,,
3520074,2015,8,7,5,MQ,3170,N608MQ,ORD,FAR,1316,1334.0,18.0,19.0,1353.0,115.0,117.0,93.0,557,1526.0,5.0,1511,1531.0,20.0,0,0,,2.0,0.0,18.0,0.0,0.0
